Process Phase;Operation Phase;Operation;Defect number;Potential failure mode;Potential effects of failure;Severity;Potential cause of failure;Occurrence;Current process control;Detectability
A. PP1;OP 1 ;O 1 ;1.1.1;Example failure mode 1;Potential effects of failure 1;10;Potential cause of failure 1;2;Process control 1 ;9
A. PP1;OP 1;O 1;1.1.2;Example failure mode 2;Potential effects of failure 2;9;Potential cause of failure 2;5;Process control 1 ;2
A. PP1;OP 1;O 1;1.1.3;Example failure mode 3;Potential effects of failure 3;9;Potential cause of failure 3;6;Process control 1 ;2
A. PP1;OP 1;O 2;1.2.1;Example failure mode 4;Potential effects of failure 4;8;Potential cause of failure 4;8;Process control 2 ;7
A. PP1;OP 2;O 3;1.3.1;Example failure mode 5;Potential effects of failure 5;8;Potential cause of failure 5;10;Process control 2 ;5
A. PP1;OP 2;O 3 ;1.3.2;Example failure mode 6;Potential effects of failure 6;1;Potential cause of failure 6;5;Process control 1 ;7
A. PP1;OP 3;O 4 ;1.4.1;Example failure mode 7;Potential effects of failure 7;5;Potential cause of failure 7;8;Process control 1 ;8
A. PP1;OP 3;O 4 ;1.4.2;Example failure mode 8;Potential effects of failure 8;1;Potential cause of failure 8;9;Process control 2 ;1
B. PP2;OP 4 ;O 5;2.1.1;Example failure mode 9;Potential effects of failure 9;1;Potential cause of failure 9;2;Process control 3 ;5
B. PP2;OP 4;O 5 ;2.1.2;Example failure mode 10;Potential effects of failure 10;1;Potential cause of failure 10;4;Process control 1 ;6
B. PP2;OP 5;O 6;2.2.1;Example failure mode 11;Potential effects of failure 11;3;Potential cause of failure 11;2;Process control 2 ;3
B. PP2;OP 6;O 7;2.3.1;Example failure mode 12;Potential effects of failure 12;3;Potential cause of failure 12;7;Process control 2 ;5
B. PP2;OP 6;O 7;2.3.2;Example failure mode 13;Potential effects of failure 13;10;Potential cause of failure 13;7;Process control 3 ;2
B. PP2;OP 6;O 7;2.3.3;Example failure mode 14;Potential effects of failure 14;8;Potential cause of failure 14;1;Process control 1 ;9
B. PP2;OP 6 ;O 8 ;2.4.1;Example failure mode 15;Potential effects of failure 15;2;Potential cause of failure 15;1;Process control 2 ;3
B. PP2;OP 7;O 9 ;2.5.1;Example failure mode 16;Potential effects of failure 16;10;Potential cause of failure 16;10;Process control 2 ;4
B. PP2;OP 7;O 9 ;2.5.2;Example failure mode 17;Potential effects of failure 17;1;Potential cause of failure 17;6;Process control 3 ;8
B. PP2;OP 7;O 10;2.6.1;Example failure mode 18;Potential effects of failure 18;10;Potential cause of failure 18;1;Process control 1 ;3
B. PP2;OP 8;O 11;2.7.1;Example failure mode 19;Potential effects of failure 19;7;Potential cause of failure 19;2;Process control 2 ;6
B. PP2;OP 9;O 12;2.8.1;Example failure mode 20;Potential effects of failure 20;10;Potential cause of failure 20;7;Process control 2 ;5
C. PP3;OP 10 ;O 13;3.1.1;Example failure mode 21;Potential effects of failure 21;4;Potential cause of failure 21;1;Process control 3 ;8
C. PP3;OP 10 ;O 13;3.1.2;Example failure mode 22;Potential effects of failure 22;10;Potential cause of failure 22;10;Process control 1 ;6
C. PP3;OP 11;O 14;3.2.1;Example failure mode 23;Potential effects of failure 23;9;Potential cause of failure 23;9;Process control 2 ;7
D. PP4;OP 12;O 15;4.1.1;Example failure mode 24;Potential effects of failure 24;5;Potential cause of failure 24;4;Process control 2 ;4
